url,tipo,objetivo,preco,area_util,area_total,Quartos,Banheiros,Suites,Garagens,Cidade,Bairro,Piscina,Copa,Cozinha,Sala de estar,Sala de jantar,Sala de visitas
https://www.imobiliariatradicao.com.br/Imovel/11007,Apartamento,Venda,298000.0,48.0,,2.0,1.0,,2.0,Araras,Fazenda Santa Terezinha,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/11028,Casa,Venda,710000.0,330.0,220.0,3.0,1.0,1.0,2.0,Araras,Santa Olívia,Não,Não,Sim,Não,Sim,Sim
https://www.imobiliariatradicao.com.br/Imovel/11006,Apartamento,Venda,43000.0,,,2.0,1.0,,1.0,Araras,Jd. Celina,Sim,Não,Sim,Não,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/11017,Casa,Venda,550000.0,175.0,250.0,3.0,1.0,1.0,3.0,Araras,Rosana,Não,Não,Sim,Não,Sim,Sim
https://www.imobiliariatradicao.com.br/Imovel/11030,Apartamento,Venda,330000.0,57.0,,2.0,1.0,1.0,1.0,Araras,Centro,Não,Não,Sim,Não,Sim,Sim
https://www.imobiliariatradicao.com.br/Imovel/11025,Apartamento,Venda,1300000.0,132.8,,,1.0,2.0,,Araras,Centro,Não,Não,Sim,Não,Sim,Sim
https://www.imobiliariatradicao.com.br/Imovel/11015,Casa,Venda,410000.0,192.0,250.0,2.0,1.0,,3.0,Araras,Parque das Árvores,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/11047,Casa,Venda,550000.0,198.9,250.0,3.0,2.0,1.0,4.0,Araras,Jardim das Flores,Não,Não,Sim,Não,Sim,Sim
https://www.imobiliariatradicao.com.br/Imovel/10973,Apartamento,Venda,170000.0,42.0,,2.0,1.0,,1.0,Araras,Parque Industrial,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10993,Casa,Venda,580000.0,164.7,275.0,2.0,1.0,,2.0,Araras,Centro,Não,Não,Sim,Não,Sim,Sim
https://www.imobiliariatradicao.com.br/Imovel/10992,Casa,Venda,426000.0,,200.0,3.0,2.0,1.0,4.0,Araras,Flamboyant,Sim,Não,Sim,Não,Sim,Não
https://www.imobiliariatradicao.com.br/Imovel/10980,Casa,Venda,192000.0,,250.0,1.0,2.0,,2.0,Araras,Esplanada,Não,Não,Sim,Não,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/10986,Apartamento,Venda,630000.0,120.0,,3.0,1.0,1.0,2.0,Araras,Ed Alamanda,Não,Não,Sim,Não,Sim,Sim
https://www.imobiliariatradicao.com.br/Imovel/10985,Casa,Venda,320000.0,87.0,125.0,2.0,1.0,1.0,2.0,Araras,Dalla Costa,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10975,Apartamento,Venda,360000.0,57.0,,2.0,1.0,1.0,1.0,Araras,Campinho,Não,Não,Sim,Não,Sim,Sim
https://www.imobiliariatradicao.com.br/Imovel/10991,Casa,Venda,192000.0,72.0,125.0,2.0,2.0,1.0,2.0,Araras,Esplanada,Não,Não,Sim,Não,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/10971,Casa,Venda,420000.0,170.0,250.0,3.0,2.0,1.0,2.0,Araras,Santa Marta,Não,Não,Sim,Não,Sim,Sim
https://www.imobiliariatradicao.com.br/Imovel/10956,Casa,Venda,350000.0,151.1,180.13,4.0,1.0,,2.0,Araras,Bela Vista,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10965,Casa,Venda,950000.0,318.45,249.6,3.0,2.0,1.0,3.0,Araras,Centro,Não,Não,Sim,Não,Sim,Sim
https://www.imobiliariatradicao.com.br/Imovel/10969,Casa,Venda,280000.0,99.97,126.9,2.0,1.0,,2.0,Araras,Haise Maria,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10970,Apartamento,Venda,138000.0,42.0,,2.0,1.0,,1.0,Araras,Costa Verde,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10958,Apartamento,Venda,1370000.0,128.3,,,1.0,3.0,3.0,Araras,Centro,Sim,Não,Sim,Não,Sim,Sim
https://www.imobiliariatradicao.com.br/Imovel/10960,Apartamento,Venda,430000.0,160.0,,3.0,2.0,1.0,2.0,Araras,Costa Verde,Não,Não,Sim,Não,Sim,Sim
https://www.imobiliariatradicao.com.br/Imovel/10967,Casa,Venda,170000.0,85.0,125.0,2.0,1.0,,2.0,Araras,Esplanada,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10928,Apartamento,Venda,190000.0,63.58,,2.0,1.0,,1.0,Araras,Parque das Árvores (Alto das Araras),Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10942,Apartamento,Venda,230000.0,58.0,,2.0,1.0,,1.0,Araras,São João,Não,Não,Sim,Não,Sim,Sim
